Date,Pair A,Pair B
2017-10-25,2329.79 ,2634.03 
2017-10-26,2353.09 ,2739.39 
2017-10-27,2376.62 ,2848.97 
2017-10-28,2400.38 ,2962.93 
2017-10-29,2424.39 ,3081.44 
2017-10-30,2448.63 ,3204.70 
2017-10-31,2473.12 ,3332.89 
2017-11-01,2497.85 ,3266.23 
2017-11-02,2522.83 ,3200.91 
2017-11-03,2548.06 ,3136.89 
2017-11-04,2573.54 ,3074.15 
2017-11-05,2599.27 ,3012.67 
2017-11-06,2625.27 ,2952.41 
2017-11-07,2651.52 ,2893.37 
2017-11-08,2678.03 ,2835.50 
2017-11-09,2704.81 ,2778.79 
2017-11-10,2731.86 ,2723.21 
2017-11-11,2759.18 ,2668.75 
2017-11-12,2786.77 ,2615.37 
2017-11-13,2814.64 ,2563.07 
2017-11-14,2842.79 ,2511.81 
2017-11-15,2871.21 ,2461.57 
2017-11-16,2899.93 ,2412.34 
2017-11-17,2928.93 ,2364.09 
2017-11-18,2958.22 ,2316.81 
2017-11-19,2987.80 ,2270.47 
2017-11-20,3017.68 ,2225.06 
2017-11-21,3047.85 ,2180.56 
2017-11-22,3078.33 ,2136.95 
2017-11-23,3109.11 ,2094.21 
2017-11-24,3140.20 ,2052.33 
2017-11-25,3171.61 ,2011.28 
2017-11-26,3203.32 ,1971.06 
2017-11-27,3235.36 ,1931.63 
2017-11-28,3267.71 ,1893.00 
2017-11-29,3300.39 ,1855.14 
2017-11-30,3333.39 ,1818.04 
2017-12-01,3366.72 ,1872.58 
2017-12-02,3400.39 ,1928.76 
2017-12-03,3434.40 ,1986.62 
2017-12-04,3468.74 ,2046.22 
2017-12-05,3503.43 ,2107.61 
2017-12-06,3538.46 ,2170.83 
2017-12-07,3573.85 ,2235.96 
2017-12-08,3609.58 ,2303.04 
2017-12-09,3645.68 ,2372.13 
2017-12-10,3682.14 ,2443.29 
2017-12-11,3718.96 ,2516.59 
2017-12-12,3756.15 ,2592.09 
2017-12-13,3793.71 ,2669.85 
2017-12-14,3831.65 ,2749.95 
2017-12-15,3869.96 ,2832.45 
2017-12-16,3908.66 ,2917.42 
2017-12-17,3947.75 ,3004.94 
2017-12-18,3987.23 ,3095.09 
2017-12-19,4027.10 ,3187.94 
2017-12-20,4067.37 ,3283.58 
2017-12-21,4108.04 ,3382.09 
2017-12-22,4149.12 ,3483.55 
2017-12-23,4190.62 ,3588.06 
2017-12-24,4232.52 ,3695.70 
2017-12-25,4274.85 ,3806.57 
2017-12-26,4317.60 ,3920.77 
2017-12-27,4360.77 ,4038.39 
2017-12-28,4404.38 ,4159.54 
2017-12-29,4448.42 ,4284.33 
2017-12-30,4492.91 ,4412.86 
2017-12-31,4537.84 ,4545.24 
